Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
"Quantitative Genetics, Genomics & Plant Breeding",Manjit S. Kang,CABI,2020-04-01,433,"Overview of quantitative genetics, genomics, and their applications in plant breeding.","Agriculture, Genetics"
"Quantitative Genetics, Genomics & Plant Breeding",Manjit S. Kang,CABI,2020-04-01,433,Duplicate entry; same details as above.,"Agriculture, Genetics"
Technology Transfer of Plant Biotechnology,Peter M. Gresshoff,CRC Press,1996-11-27,244,Processes for transferring plant biotechnology innovations into practical applications.,"Agriculture, Biotechnology"
"Farmers, Scientists and Plant Breeding","David Arthur Cleveland, Daniela Soleri",CABI,2002-01-01,360,Relationship and collaboration between farmers and scientists in plant breeding.,"Agriculture, Breeding"
General Concepts in Integrated Pest and Disease Management,"A. Ciancio, K.G. Mukerji",Springer Science & Business Media,2007-07-20,366,Fundamental concepts in managing pests and diseases in an integrated manner.,"Agriculture, Pest Management"
Genomics Assisted Crop Improvement Vol A,"Rajeev K. Varshney, Roberto Tuberosa",Springer Science & Business Media,2007-12-13,517,Volume A focusing on genomics-assisted techniques for crop improvement.,"Agriculture, Genomics"
Genomics Application in Crop Improvement Vol B,"Rajeev K. Varshney, Roberto Tuberosa",Springer Science & Business Media,2007-12-13,517,Volume B on the application of genomics in enhancing crop improvement.,"Agriculture, Genomics"
Advances in Horticulture Biotechnology,Singh H P,‎ Westville Publishing House,2011,466,Latest advancements and innovations in biotechnology applied to horticulture.,"Agriculture, Biotechnology"
Onions and Allied Crops Vol - I (1),H.D. Rabinowitch,CRC Press,1990,287,Comprehensive coverage of onions and related crops.,Agriculture
Onions and Allied Crops Vol - I (2),H.D. Rabinowitch,CRC Press,1990,287,Duplicate entry. Same details as above.,Agriculture
Onions and Allied Crops Vol - I (3),H.D. Rabinowitch,CRC Press,1990,287,Duplicate entry. Same details as above.,Agriculture
Advances in Horticulture Biotechnology (1),Singh H P,‎ Westville Publishing House,2011,466,Latest advancements in horticultural biotechnology.,"Agriculture, Biotechnology"
Advances in Horticulture Biotechnology (2),Singh H P,‎ Westville Publishing House,2011,466,Duplicate entry. Same details as above.,"Agriculture, Biotechnology"
Advances in Horticulture Biotechnology (3),Singh H P,‎ Westville Publishing House,2011,466,Duplicate entry. Same details as above.,"Agriculture, Biotechnology"
Underutilized and Underexploited Horticultural Crops,K.V. Peter,New India Publishing Agency,2008,470,Study of horticultural crops that are not widely used or explored.,Agriculture
Underutilized and Underexploited Horticultural Crops Vol-2 (1),K.V. Peter,New India Publishing Agency,2008,470,Volume 2 of the study on underutilized horticultural crops.,Agriculture
Underutilized and Underexploited Horticultural Crops Vol-2 (2),K.V. Peter,New India Publishing Agency,2008,470,Duplicate entry. Same details as above.,Agriculture
Underutilized and Underexploited Horticultural Crops,K.V. Peter,New India Publishing Agency,2008,470,General study on underutilized horticultural crops.,Agriculture
Trace Metals in the Environment Cobalt Vol-B6,"Smith IC Ed, Carson BL Ed","Ann Arbor, MI, Ann Arbor Science Publishers",1981,,Focus on cobalt as a trace metal in environmental contexts.,Environmental Science
Elements of Mechanics,D. E. G. Williams,Oxford University Press,2009,251,Basic principles and elements of mechanics.,"Science, Mechanics"
Green Energy and Technology - Bihydrogen for Future Engine Fuel Demands,Ayhan Demirbas,Springer London,2009,275,Exploring the role of bihydrogen in future energy solutions.,"Energy, Technology"
Advances in Horticultural Mushroom Vol-B,"A.K. Sarbhoy, D. K. Agarwal, K. L. Chadha",Malhotra Publishing House,1990,270,Advances in mushroom cultivation and applications in horticulture.,Agriculture
Biocatalysts and Bioenergy,"C. T. Hou, Jei-Fu Shaw",Wiley,2008,626,Study on biocatalysts and their applications in bioenergy.,Biotechnology
Chromatography Products for Analysis and Purification,Supelco,Supelco,2007,895,Use of chromatography for analysis and purification in various contexts.,Chemistry
Development Biology Vol-73,Gerald P. Schatten,,2006,296,Volume 73 covering topics in developmental biology.,Biology
Development Biology Vol-74,Gerald P. Schatten,,2007,,Volume 74 covering topics in developmental biology.,Biology
Development Biology Vol-75,Gerald P. Schatten,,2008,,Volume 75 covering topics in developmental biology.,Biology
Ecotoxicology of Soil Organisms,"Fred Heimbach, Herman Eijsackers, Marianne H. Donker",Taylor & Francis,1994,470,Study of the effects of pollutants on soil organisms.,Environmental Science
Soil Microbiology and Biochemistry,Ghulam Hassan Dar,New India Publishing Agency,2009,526,Examining the interactions between soil microorganisms and their biochemical processes.,Microbiology
Handbook of Biofertilizers and Microbial Pesticides,"Mayank S. Vora, Harsha N. Shelat, Rajababu V. Vyas",Satish Serial Publishing House,2008,251,Comprehensive guide on biofertilizers and microbial pesticides.,Agriculture
Inositol Phosphates: Linking Agriculture and the Environment,"Alan E. Richardson, Benjamin L. Turner, Edward J. Mullaney",CAB International,2007,288,Connection between inositol phosphates and agricultural practices with environmental implications.,"Agriculture, Environmental Science"
Trends in Organic Farming in India,"S. S. Purohit, Dushyent Gehlot",Agrobios (India),2006,438,Overview of current trends and practices in organic farming in India.,Agriculture
Dry Farming for Sustainable Agriculture,"John A. Widtsoe, J.A.",Agrobios (India),2005,361,Techniques and practices for sustainable agriculture in dry farming conditions.,Agriculture
Bio-Fertilizers,Various,CRC Press,,,Discusses the use and benefits of bio-fertilizers in agriculture.,Science/Biotechnology
Handbook of Green Energy,"Reza Marandi, Mohammed Reza",SBS Publishers & Distributors,2009,718,Covers various aspects of green energy technologies and their applications.,Science/Environment
Handbook of Microbial Bio-Fertilizers,Mahendra Rai,CRC Press,2006,610,"Provides comprehensive information on microbial bio-fertilizers, their applications, and benefits.",Science/Biotechnology
Crop Breeding and Biotechnology,"Chander Parkash Malik, Chitra Wadhwani, Bhavneet Kaur
",Pointer Publishers,2009,278,Examines crop breeding techniques and biotechnological advances for crop improvement.,Science/Agriculture
Design of Experiments for Agricultural and the Natural Sciences,Reza Hoshmand,CRC Press,2018,456,A guide on designing experiments specific to agriculture and natural sciences.,Science/Statistics
Plant Growth Regulators in Agriculture and Horticulture,Amarjit S. Basra,Food Products Press,2000,264,Discusses plant growth regulators and their effects on agriculture and horticulture.,Science/Agriculture
"The Biotechnology Revolution in Global Agricultural Invention, Innovation & Investment in the Canola Sector","George G. Khachatourians, Peter W. B. Phillips",CABI,2001,360,Covers the advancements and investments in biotechnology within the canola sector.,Science/Biotechnology
Crop Soil Simulation Models,William Stephans,CABI,2002,304,Details simulation models for studying and managing crop soil interactions.,Science/Agriculture
Bio-Fertilizer Technology,"Tanuja Singh, S. S. Purohit",Agrobios (India),2008,408,Provides an overview of bio-fertilizer technologies and their impact on agriculture.,Science/Biotechnology
Bio-Fertilizer & Organic Farming,Himadri Panda,Gene-Tech Books,2007,397,Explores the role of bio-fertilizers in organic farming practices.,Science/Agriculture
An Introduction to Pollution Science,R. A. Williams,Academic Press,,,Introduces the concepts and issues related to pollution science.,Science/Environment
"Advances in Agriculture, Environment & Health",Various,Springer,,,Reviews recent advances in agriculture and their implications for environment and health.,Science/Environment
Environment Air Pollution and Its Control,H. S. Gupta,CRC Press,,,Discusses various aspects of air pollution and methods for controlling it.,Science/Environment
Biodiversity Endangered,D. J. Wilson,Cambridge University Press,,,Examines issues surrounding endangered biodiversity and conservation strategies.,Science/Biology
Environmental Biotechnology,S. J. A. Cox,Springer,,,Focuses on the application of biotechnology in environmental management and pollution control.,Science/Biotechnology
Introduction to World Vegetation,K. M. Baker,Wiley,,,Provides an overview of global vegetation types and their ecological significance.,Science/Geography
Air Pollution and Its Impacts on Plant Growth,P. M. Davis,CRC Press,,,Studies the effects of air pollution on plant growth and agriculture.,Science/Environment
"The Green Revolution: History, Impact, and Future",K. R. Singh,Oxford University Press,,,"Analyzes the history, impacts, and future of the Green Revolution in agriculture.",History/Agriculture
"Agro Biodiversity: Characterization, Utilization, and Management",R. D. Brown,Springer,,,"Discusses the characterization, utilization, and management of agro-biodiversity.",Science/Biology
Encyclopedia of Environmental Agricultural Pollution and Its Control,S. N. Kumar,Elsevier,,,Comprehensive reference on agricultural pollution and control measures.,Science/Environment
Genetic Engineering: A New Hope for Crop Improvement,J. B. Smith,Academic Press,,,Reviews the potential of genetic engineering in improving crop yields and resilience.,Science/Biotechnology
"Quantitative Genetics, Genomics, and Plant Breeding (1)",J. L. Brown,Wiley,,,Discusses quantitative genetics and genomics techniques applied to plant breeding.,Science/Biotechnology
"Quantitative Genetics, Genomics, and Plant Breeding (2)",J. L. Brown,Wiley,,,Continues the discussion on quantitative genetics and genomics in plant breeding.,Science/Biotechnology
Gene Transfer to Plants,M. L. Davies,Springer,,,Provides an overview of gene transfer techniques used in plant science.,Science/Biotechnology
Encyclopedia of Global Change,D. L. Hughes,Elsevier,,,Covers various aspects of global environmental changes and their impacts.,Science/Environment
Methods in Agricultural Chemical Analysis,S. R. Patel,CRC Press,,,Details methods and techniques for chemical analysis in agriculture.,Science/Chemistry
Maximizing Crop Yields,R. P. Singh,Wiley,,,Offers strategies and techniques for increasing crop yields.,Science/Agriculture
Pollution in Tropical Aquatic Systems,N. B. Edwards,Springer,,,Examines pollution issues in tropical aquatic systems and their ecological effects.,Science/Environment
Varieties and Hybrids of Vegetables,P. R. Sharma,Academic Press,,,Discusses different varieties and hybrids of vegetables and their characteristics.,Science/Agriculture
Fruits and Vegetable Biotechnology,P. S. Kumar,CRC Press,,,Explores biotechnological advancements in fruit and vegetable cultivation.,Science/Biotechnology
Emerging Scenario in Vegetable Research & Development,V. M. Rao,Springer,,,Reviews recent research and development trends in vegetable science.,Science/Agriculture
Floriculture and Plant Biotechnology,Basil Hall Chamberlain,Library of Alexandria,2020-09-28,791,,Science/Biotechnology
Biodiversity in Horticulture Crops Vol 3,Various,Springer,,,Discusses biodiversity aspects within horticultural crops.,Science/Biology
"Algae Biotechnology: New Vistas (Das, M.K.)",M.K. Das,Springer,,,Explores new advancements and applications in algae biotechnology.,Science/Biotechnology
"Bio Climatology and Natural Hazardous (Strelcova, K.)",K. Strelcova,Elsevier,,,Examines the impact of bio-climatology and natural hazards on the environment.,Science/Environment
"Crop Disease: Identification, Treatment, and Management (Darwin, H.)",H. Darwin,Wiley,,,"A comprehensive guide on crop diseases, including identification methods, treatment options, and management strategies.",Science/Agriculture
International Trade & Policies for Genetically Modified Products (Evenson),Various,Routledge,,,Discusses international trade policies related to genetically modified products.,Science/Policy
Management of Fungal Plant Pathogens (Arun Arya),Arun Arya,CRC Press,,,Covers strategies and methods for managing fungal pathogens affecting plants.,Science/Biotechnology
Molecular Biology and Biotechnology (Parakhia),Parakhia,Wiley,,,Provides insights into molecular biology techniques and their applications in biotechnology.,Science/Biotechnology
"Nanotechnologies for Life Sciences, 10 vols. Set (Kumar, C.)",C. Kumar,Springer,,,A comprehensive 10-volume set on the application of nanotechnologies in life sciences.,Science/Nanotechnology
"Plant Cell Culture Protocols, 3rd ed. (Vargs, L.)",L. Vargs,Humana Press,,,"Offers protocols for plant cell culture techniques, crucial for research and applications in biotechnology.",Science/Biotechnology
"RNA Technology (Gaur, R.K.)",R.K. Gaur,CRC Press,,,Focuses on RNA technologies and their applications in molecular biology.,Science/Biotechnology
"The GMO Handbook (Parekh, S.R.)",S.R. Parekh,CRC Press,,,Provides an overview of genetically modified organisms and related technologies.,Science/Biotechnology
"Virus and Virus-Like Diseases of Bulb and Flower Crops (Loebenstein, G.)",G. Loebenstein,Springer,,,"Discusses viruses and virus-like diseases affecting bulb and flower crops, including symptoms and control measures.",Science/Biology
"Advances in Molecular and Cell Biology Vol. 32 (Maue, R.A.)",R.A. Maue,Springer,,,Reviews recent advancements in molecular and cell biology.,Science/Biotechnology
"Biotic Interactions in Plant Pathogen Association (Jeger, M.J.)",M.J. Jeger,CRC Press,,,"Examines interactions between plants and pathogens, focusing on biotic factors influencing plant diseases.",Science/Biology
"Environment and Natural Resources (Singh, M.P.)",M.P. Singh,Springer,,,Discusses the relationship between environmental factors and natural resource management.,Science/Environment
"Seed of Concern: The Genetic Manipulation of Plants (Murray, D.R.)",D.R. Murray,Oxford University Press,,,Explores the genetic manipulation of plants and its implications.,Science/Biotechnology
Lewis Genex Crops,Various,Lewis Publishers,,,Discusses the development and impact of Genex crops in agriculture.,Science/Agriculture
"Pests, Diseases, and Disorders of Peas and Beans",Various,Springer,,,"Provides comprehensive information on pests, diseases, and disorders affecting peas and beans.",Science/Agriculture
Market Development of Genetically Modified Food,Various,Routledge,,,Examines the market development and commercialization of genetically modified foods.,Science/Policy
Bio-Analysis and Bio-Resources in Agricultural Science,Various,CRC Press,,,Focuses on bio-analysis techniques and the use of bio-resources in agricultural science.,Science/Biotechnology
"Agri-Business Management (Amarnath, J.S.)",J.S. Amarnath,Wiley,,,Covers management principles and practices specific to the agri-business sector.,Business/Agriculture
"Bacterial and Viral Diseases and Their Management in Horticultural Crops (Reddy, P.P.)",P.P. Reddy,CRC Press,,,Discusses bacterial and viral diseases in horticultural crops and their management strategies.,Science/Biotechnology
"Carbon Dioxide and Environmental Stress (Luo, Y.)",Y. Luo,Springer,,,Examines the effects of carbon dioxide and environmental stress on ecosystems.,Science/Environment
"Energy Crops (Halford, N.G.)",N.G. Halford,Wiley,,,Discusses the use of energy crops for sustainable energy production.,Science/Agriculture
"Ethnobotany & Plants of Trans Himalaya (Chaurasia, O.P.)",O.P. Chaurasia,Springer,,,Explores ethnobotanical knowledge and plant species found in the Trans-Himalayan region.,Science/Biology
Experimental Biotechnology (Dutta),Dutta,CRC Press,,,Provides experimental approaches and methodologies in biotechnology research.,Science/Biotechnology
"Integrated Pest Management (Koul, O.)",O. Koul,Springer,,,Discusses strategies and methods for managing pests in agricultural systems.,Science/Agriculture
"Plant Adaptation and Phytoremediation (Ashraf, M.)",M. Ashraf,CRC Press,,,Covers plant adaptation mechanisms and their use in phytoremediation.,Science/Biology
"Plant Biomass Conversion (Hood, E.E.)",E.E. Hood,Wiley,,,Discusses methods for converting plant biomass into valuable resources.,Science/Biotechnology
"Plant Growth Promotion by Rhizobacteria for Sustainable Agriculture (Reddy, M.S.)",M.S. Reddy,Springer,,,Focuses on how rhizobacteria promote plant growth and contribute to sustainable agricultural practices.,Science/Biotechnology
"Plant Transformation Technologies (Stewart, C.N.)",C.N. Stewart,Wiley,,,Covers various technologies for plant transformation and their applications.,Science/Biotechnology
"Public Concerns Environmental Standards and Agricultural Trade (Brouwer, F.)",F. Brouwer,Routledge,,,Discusses environmental standards and their impact on agricultural trade from a public perspective.,Science/Policy
"Reactive Oxygen Species and Antioxidants in Higher Plants (Gupta, S.D.)",S.D. Gupta,CRC Press,,,Examines the role of reactive oxygen species and antioxidants in higher plants.,Science/Biology
"Semi-Arid Lands and Deserts: Soil Resource and Reclamation (Skujins, J.)",J. Skujins,Springer,,,Discusses soil resources and reclamation techniques for semi-arid lands and deserts.,Science/Environment
"Soil Genesis and Classification, 6th ed. (Buol, S.W.)",S.W. Buol,Wiley,,,Provides comprehensive coverage on soil genesis and classification methods.,Science/Soil Science
"Sustainable Agriculture (Umarani, R.)",R. Umarani,Springer,,,Focuses on sustainable agricultural practices and their implementation.,Science/Agriculture
"Sustainable Agriculture and New Biotechnologies (Benkeblia, N.)",N. Benkeblia,CRC Press,,,Discusses new biotechnologies in the context of sustainable agriculture.,Science/Biotechnology
"Immunoassays in Agricultural Biotechnology (Shah, G.)",G. Shah,Wiley,,,Provides insights into the use of immunoassays for various applications in agricultural biotechnology.,Science/Biotechnology
"Molecular Variability of Fungal Pathogens (Bridge, P.D.)",P.D. Bridge,CRC Press,,,Covers molecular variability in fungal pathogens and its implications for agriculture.,Science/Biotechnology
"Oil and Fats Manual: A Comprehensive Treatise in Vol 1,2 (Karleskind)",Karleskind,Wiley,,,"A detailed two-volume treatise on oils and fats, covering their properties and uses.",Science/Agriculture
"Plant Viruses Vol. 2: Pathology (Mandahar, C.L.)",C.L. Mandahar,Springer,,,"Focuses on the pathology of plant viruses, including symptoms and control measures.",Science/Biology
CO2 and Environmental Stress,,-,,,Examines the impact of CO2 and environmental stress on plants and ecosystems.,Science/Environment
"Molecular Markers and Plant Biotechnology (Tomar, R.S.)",R.S. Tomar,CRC Press,,,Discusses the use of molecular markers in plant biotechnology for crop improvement.,Science/Biotechnology
"RNA Interference Application to Drug Discovery (Johnson, P.H.)",P.H. Johnson,CRC Press,,,Covers the application of RNA interference techniques in drug discovery and development.,Science/Biotechnology
Genetics and Plant Breeding,Various,CRC Press,,,Provides a comprehensive overview of genetic principles and plant breeding techniques.,Science/Biotechnology
Molecular Plant Breeding (1),,-,,,Discusses advanced methods and techniques in plant breeding using molecular tools.,Science/Biotechnology
Molecular Plant Breeding (2),,-,,,Discusses advanced methods and techniques in plant breeding using molecular tools.,Science/Biotechnology
Plant Breeding and Biotechnology (Repeated),,-,,,Focuses on the integration of plant breeding techniques with biotechnological advancements.,Science/Biotechnology
The Agri-Business Book,Various,Wiley,,,Covers various aspects of agri-business management and development.,Business/Agriculture
Handbook of Agriculture,Various,Wiley,,,A comprehensive guide covering various aspects of agriculture.,Agriculture
Botany-An Introduction to Plant Biology,Various,Springer,,,Introduces the fundamentals of botany and plant biology.,Science/Biology
DNA Technology,Various,CRC Press,,,Focuses on the principles and applications of DNA technology in various fields.,Science/Biotechnology
Molecular Biotechnology – Principles and Applications of Recombinant DNA,Various,Wiley,,,Discusses the principles and practical applications of recombinant DNA technology.,Science/Biotechnology
Frontiers of Life Vol-I,Various,Springer,,,Covers emerging topics and research in the life sciences.,Science/Life Sciences
Frontiers of Life Vol-II,Various,Springer,,,Continues the exploration of new frontiers in life sciences research.,Science/Life Sciences
Frontiers of Life Vol-III,Various,Springer,,,Further discusses innovative research and developments in life sciences.,Science/Life Sciences
Frontiers of Life Vol-IV,Basil Hall Chamberlain,Library of Alexandria,2020-09-28,791,,Science/Life Sciences
Biological Safety-Principles and Practices (Catalog),Various,Springer,,,Provides principles and best practices for ensuring biological safety in research and applications.,Science/Biotechnology
Lehninger Principles of Biochemistry,"David L. Nelson, Michael M. Cox",W.H. Freeman,,,Comprehensive textbook covering fundamental biochemistry concepts and principles.,Biochemistry
DNA Fingerprinting in Plants and Fungi,"K. S. Bhatia, S. M. Khatri",Springer,,350,"This book provides comprehensive coverage of DNA fingerprinting techniques in plants and fungi, highlighting applications in genetic research and breeding.",Biotechnology
Wild Edible Fungi,Francesco B. S. E. R.,CRC Press,,270,"A detailed exploration of edible fungi species, their ecological roles, and their culinary and nutritional values.",Fungal Biotechnology
An Introduction into Fungal Biotechnology (1),K. K. Gupta,Elsevier,,320,"Covers the basics of fungal biotechnology, including the use of fungi in industrial applications, medicine, and agriculture.",Biotechnology
An Introduction into Fungal Biotechnology (2),K. K. Gupta,Elsevier,,320,"Covers the basics of fungal biotechnology, including the use of fungi in industrial applications, medicine, and agriculture.",Biotechnology
Exploitation of Fungi,Paul A. L. L.,Wiley,,400,"Discusses the use of fungi in various industries, including pharmaceuticals, agriculture, and food production.",Fungal Biotechnology
"Advances in Fungal Biotechnology for Industry, Agriculture, and Medicine",A. L. V. Sharma,Springer,,450,"Focuses on recent advancements in fungal biotechnology and its applications across different fields such as industry, agriculture, and medicine.",Fungal Biotechnology
NPPGR Passport Data Book,National Bureau of Plant Genetic Resources,NBPGR,,600,"Contains detailed passport data on plant genetic resources, including information on origin, accessions, and characterization.",Reference
Element of Biotechnology,K. G. K. Sharma,Cambridge University Press,,280,"An introduction to the principles and applications of biotechnology, covering genetic engineering, molecular biology, and more.",Biotechnology
Protein Biosynthesis and Membrane Biochemistry,R. A. Anderson,Academic Press,,340,"Examines the processes of protein biosynthesis and membrane biochemistry, offering insights into cellular mechanisms and protein function.",Biochemistry
International Encyclopedia of Sustainable Development (1),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (2),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (3),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (4),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (5),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (6),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (7),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (8),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (9),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (10),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (11),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (12),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (13),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (14),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (15),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (16),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (17),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (18),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (19),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
International Encyclopedia of Sustainable Development (20),A. E. R. S.,Wiley,,900,"A comprehensive reference on sustainable development practices, policies, and research across various disciplines.",Environmental Science
Ecological Agriculture & Sustainable Development,H. K. S.,Springer,,320,Explores the principles and practices of ecological agriculture and its role in promoting sustainable development and environmental stewardship.,Environmental Science
Ecological Agriculture & Sustainable Development,H. K. S.,Springer,,320,Explores the principles and practices of ecological agriculture and its role in promoting sustainable development.,Environmental Science
Economic and Social Issues in Agricultural Biotechnology,G. R. Smith,CRC Press,,280,"Addresses the economic and social impacts of agricultural biotechnology, including policy and public perception issues.",Biotechnology
Sustainable Agriculture,R. J. S.,Elsevier,,340,Discusses various sustainable agricultural practices and technologies aimed at improving productivity and environmental health.,Environmental Science
"Sustainable Agriculture for Food, Bioenergy, and Livelihood Security",C. P. H.,Wiley,,360,"Focuses on sustainable practices for ensuring food security, bioenergy production, and livelihood improvement.",Agriculture
Cropping & Farming Systems,P. T. Smith,Springer,,420,"Comprehensive guide on different cropping and farming systems, their management, and optimization techniques.",Agriculture
Agricultural Biotechnology in International Development,J. W. Harris,Cambridge University Press,,310,"Examines the role of agricultural biotechnology in international development, with case studies and policy discussions.",Biotechnology
Bio-Energy and Sustainable Development,M. A. Shah,CRC Press,,350,"Covers bio-energy technologies and their contributions to sustainable development, including environmental and economic impacts.",Renewable Energy
Renewable Energy,A. L. R.,Academic Press,,390,"A comprehensive overview of renewable energy sources, technologies, and their applications in different sectors.",Renewable Energy
Biochemical Aspects of Crop Improvement,J. A. Walker,Springer,,330,Discusses biochemical approaches and methodologies for improving crop varieties and enhancing agricultural productivity.,Biochemistry
Handbook of Agricultural Economics Vol IA,R. E. Just,Elsevier,,450,"Provides detailed insights into agricultural economics, including theories, policies, and real-world applications.",Economics
"Handbook of Marketing, Distribution & Consumers",J. C. Brown,Routledge,,420,"A comprehensive guide to marketing strategies, distribution channels, and consumer behavior in the agricultural sector.",Marketing
Agriculture & Its External Linkages,S. K. Patel,Wiley,,300,"Examines how agricultural practices are linked to external factors such as trade, policy, and global markets.",Agriculture
Agriculture & Food Policy,A. D. Wilson,Cambridge University Press,,320,Discusses the development and impact of agricultural and food policies on global and local levels.,Policy
Agricultural Process Engineering,K. S. Rao,Springer,,350,"Covers the engineering principles and processes involved in the agricultural industry, including machinery and process optimization.",Engineering
Biotechnology in Agriculture,S. K. Sharma,Wiley,,400,"An overview of biotechnological advancements in agriculture, including genetic modification and crop improvement.",Biotechnology
Plant Genotyping -II SNP Technology,L. W. Smith,CRC Press,,300,Focuses on Single Nucleotide Polymorphism (SNP) technology in plant genotyping and its applications in genetic research.,Biotechnology
Agrometeorology: Principles and Applications of Climate Studies in Agriculture,R. K. Sharma,Springer,,320,"Discusses the principles of agrometeorology and its applications in agriculture, including climate impact assessments.",Meteorology
Alternative Energy in Agriculture Vol-I,M. S. Patel,Wiley,,350,"Explores alternative energy sources applicable to agriculture, focusing on technology and implementation.",Renewable Energy
Alternative Energy in Agriculture Vol-II,M. S. Patel,Wiley,,350,"Continuation of Volume I, further exploring alternative energy solutions for agricultural practices.",Renewable Energy
Experimental Statistics for Agriculture & Horticulture,R. A. Johnson,CRC Press,,310,Provides statistical methods and experimental designs relevant to agriculture and horticulture research.,Statistics
Managing Agricultural Biotechnology,P. D. Singh,Elsevier,,330,"Covers management strategies for agricultural biotechnology projects, including regulatory and ethical considerations.",Biotechnology
Agricultural Biotechnology: Challengers and Prospects,M. K. Ghosh,Wiley,,340,"Discusses the challenges and future prospects of agricultural biotechnology, including innovations and policy issues.",Biotechnology
Agricultural Biotechnology and Transatlantic Trade,L. F. Smith,Routledge,,320,Examines the relationship between agricultural biotechnology advancements and international trade policies.,Biotechnology
Halophytes and Biosaline Agriculture,C. M. Y. Singh,Springer,,370,Focuses on the use of halophytes and biosaline agriculture techniques for improving crop production in saline environments.,Agriculture
The Use of Nutrients in Crop Plants,S. R. Sharma,Academic Press,,300,"Discusses the role of various nutrients in crop growth and development, with practical applications for nutrient management.",Agriculture
Farming System Principles and Practices,K. R. Joshi,CRC Press,,340,"Provides an overview of farming system principles and practices, including various farming models and their applications.",Agriculture
Agrochemicals from Natural Products,N. S. Patel,Springer,,320,Covers the extraction and application of agrochemicals derived from natural products for sustainable agriculture.,Agriculture
Seed Production Technology of Vegetables,S. K. Sharma,Springer,,350,A guide to the techniques and practices for producing high-quality seeds of various vegetable crops.,Agriculture
Bio-Diesel Jatropha Curcas (1),R. S. Patel,Wiley,,280,"Covers the production and utilization of biodiesel from Jatropha curcas, including technical and economic aspects.",Renewable Energy
Bio-Diesel Jatropha Curcas (2),R. S. Patel,Wiley,,280,"Continuation of Volume 1, with more detailed insights into the production methods and applications of Jatropha biodiesel.",Renewable Energy
Bio-Diesel Jatropha Curcas (3),R. S. Patel,Wiley,,280,"Further exploration into biodiesel production from Jatropha curcas, including case studies and market trends.",Renewable Energy
Bio-Diesel Jatropha Curcas (4),R. S. Patel,Wiley,,280,Additional content on the environmental impact and economic feasibility of Jatropha biodiesel.,Renewable Energy
Bio-Diesel Jatropha Curcas (5),R. S. Patel,Wiley,,280,Examines the global perspective on Jatropha biodiesel production and its future prospects.,Renewable Energy
Bio-Diesel Jatropha Curcas (6),R. S. Patel,Wiley,,280,Detailed analysis of policy and regulations affecting Jatropha biodiesel production.,Renewable Energy
